Indicator Code: CG0590,,,,,,,,,,,
Indicator Name: Noncommunicable diseases,,,,,,,,,,,
Export date: 12/25/2022 9:17:33 PM,,,,,,,,,,,
"Source location: ""WHO Mortality Database portal""",,,,,,,,,,,
"Indicator metadata: C00-C97, D00-D48, D55-D64 (minus D 64.9) D65-D89, E03-E07, E10-E34, E65-E88, F01-F99, G06-G98 (minus G14), H00-H61, H68-H93, I00-I99, J30-J98, K00-K92, L00-L98, M00-M99, N00-N64, N75-N98,  Q00-Q99,  R95, U07.0, X41, X42, X44, X45",,,,,,,,,,,
,,,,,,,,,,,
Region_Code,Region_Name,Country_Code,region,Year,Sex,Age_group_code,Age_Group,Number,Percentage_of_cause_specific_deaths_out_of_total deaths,Age_standardized_death_rate_per_100_000_standard_population,Death_rate_per_100_000_population
EU,Europe,LUX,Luxembourg,1967,All,Age_all,[All],3407,82.01733269,777.5979655,1016.408115
EU,Europe,LUX,Luxembourg,1968,All,Age_all,[All],3475,84.50875486,770.6578257,1032.68945
EU,Europe,LUX,Luxembourg,1969,All,Age_all,[All],3561,85.2321685,782.9539974,1051.994092
EU,Europe,LUX,Luxembourg,1970,All,Age_all,[All],3507,84.3840231,771.8016027,1032.077693
EU,Europe,LUX,Luxembourg,1971,All,Age_all,[All],3730,84.73421172,804.1523577,1080.846132
EU,Europe,LUX,Luxembourg,1972,All,Age_all,[All],3512,85.20135856,742.4774879,1008.615738
EU,Europe,LUX,Luxembourg,1973,All,Age_all,[All],3542,84.77740546,740.9590926,1004.252906
EU,Europe,LUX,Luxembourg,1974,All,Age_all,[All],3607,84.11847015,733.904673,1009.233352
EU,Europe,LUX,Luxembourg,1975,All,Age_all,[All],3737,85.41714286,746.3923543,1036.615811
EU,Europe,LUX,Luxembourg,1976,All,Age_all,[All],3775,84.01958602,746.2446296,1045.706371
EU,Europe,LUX,Luxembourg,1977,All,Age_all,[All],3512,86.43859217,677.2686243,970.7020453
EU,Europe,LUX,Luxembourg,1978,All,Age_all,[All],3548,84.81950753,709.0246622,994.3946188
EU,Europe,LUX,Luxembourg,1979,All,Age_all,[All],3503,87.68460576,692.7191059,966.8782777
EU,Europe,LUX,Luxembourg,1980,All,Age_all,[All],3575,86.47798742,691.7700387,982.9529832
EU,Europe,LUX,Luxembourg,1981,All,Age_all,[All],3619,86.99519231,685.8543246,992.5946243
EU,Europe,LUX,Luxembourg,1982,All,Age_all,[All],3588,86.56212304,666.832857,981.1320755
