Indicator Code: CG0590
"Indicator Name: Noncommunicable diseases"
Export date: 1/7/2023 3:12:17 AM
Source location: "WHO Mortality Database portal"
"Indicator metadata: C00-C97, D00-D48, D55-D64 (minus D 64.9) D65-D89, E03-E07, E10-E34, E65-E88, F01-F99, G06-G98 (minus G14), H00-H61, H68-H93, I00-I99, J30-J98, K00-K92, L00-L98, M00-M99, N00-N64, N75-N98,  Q00-Q99,  R95, U07.0, X41, X42, X44, X45"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,ALB,Albania,1988,All,Age65_69,[65-69],1301.00000000,85.93130779,,1971.21212120,
EU,Europe,ALB,Albania,1988,All,Age70_74,[70-74],1513.00000000,84.00888395,,3637.01923080,
EU,Europe,ALB,Albania,1989,All,Age65_69,[65-69],1329.00000000,86.07512953,,1986.54708520,
EU,Europe,ALB,Albania,1989,All,Age70_74,[70-74],1492.00000000,83.58543417,,3535.54502370,
EU,Europe,ALB,Albania,1992,All,Age70_74,[70-74],1461.00000000,81.94054964,,2939.63782700,
EU,Europe,ALB,Albania,1993,All,Age70_74,[70-74],1443.00000000,81.71007928,,2775.00000000,
EU,Europe,ALB,Albania,1996,All,Age55_59,[55-59],637.00000000,86.43147897,,503.95569620,
EU,Europe,ALB,Albania,1996,All,Age60_64,[60-64],1044.00000000,89.76784179,,1023.52941180,
EU,Europe,ALB,Albania,1997,All,Age60_64,[60-64],971.00000000,89.74121996,,940.89147287,
EU,Europe,ALB,Albania,1997,All,Age65_69,[65-69],1198.00000000,90.89529590,,1545.80645160,
EU,Europe,ALB,Albania,1997,All,Age70_74,[70-74],1483.00000000,90.20681265,,2526.40545140,
EU,Europe,ALB,Albania,1998,All,Age70_74,[70-74],1734.00000000,90.31250000,,2919.19191920,
EU,Europe,ALB,Albania,2001,All,Age60_64,[60-64],1007.00000000,90.88447653,,889.03406934,
EU,Europe,ALB,Albania,2001,All,Age65_69,[65-69],1309.00000000,91.79523142,,1494.18989570,
EU,Europe,ALB,Albania,2001,All,Age70_74,[70-74],1866.00000000,91.29158513,,2850.63933150,
EU,Europe,ALB,Albania,2002,All,Age55_59,[55-59],540.00000000,85.03937008,,455.88856057,
EU,Europe,ALB,Albania,2002,All,Age60_64,[60-64],995.00000000,87.81994704,,877.82757525,
EU,Europe,ALB,Albania,2002,All,Age65_69,[65-69],1474.00000000,90.59618931,,1618.32195160,
EU,Europe,ALB,Albania,2002,All,Age70_74,[70-74],1871.00000000,89.82237158,,2794.12203940,
EU,Europe,ALB,Albania,2003,All,Age55_59,[55-59],600.00000000,84.98583569,,517.32611376,
EU,Europe,ALB,Albania,2003,All,Age60_64,[60-64],1057.00000000,87.35537190,,889.64826489,
EU,Europe,ALB,Albania,2003,All,Age65_69,[65-69],1597.00000000,90.73863636,,1691.86274410,
EU,Europe,ALB,Albania,2005,All,Age60_64,[60-64],982.00000000,87.05673759,,837.01980038,
EU,Europe,ALB,Albania,1987,All,Age55_59,[55-59],696.00000000,85.81997534,,701.61290323,
EU,Europe,ALB,Albania,1987,All,Age60_64,[60-64],892.00000000,84.23040604,,1152.45478040,
EU,Europe,ALB,Albania,1994,All,Age60_64,[60-64],814.00000000,84.00412797,,840.90909091,
EU,Europe,ALB,Albania,1994,All,Age65_69,[65-69],996.00000000,83.76787216,,1347.76725300,
EU,Europe,ALB,Albania,1994,All,Age70_74,[70-74],1423.00000000,84.35091879,,2606.22710620,
EU,Europe,ALB,Albania,1999,All,Age55_59,[55-59],624.00000000,87.39495798,,478.89485802,
EU,Europe,ALB,Albania,1999,All,Age60_64,[60-64],941.00000000,89.27893738,,895.33777355,
EU,Europe,ALB,Albania,2000,All,Age60_64,[60-64],970.00000000,90.73900842,,997.94238683,
EU,Europe,ALB,Albania,2000,All,Age65_69,[65-69],1342.00000000,91.35466304,,1845.94222830,
EU,Europe,ALB,Albania,2000,All,Age70_74,[70-74],1799.00000000,91.13475177,,3276.86703100,
EU,Europe,ALB,Albania,2004,All,Age55_59,[55-59],588.00000000,86.98224852,,486.86781704,
EU,Europe,ALB,Albania,2004,All,Age60_64,[60-64],1113.00000000,89.18269231,,928.20388795,
EU,Europe,ALB,Albania,2004,All,Age65_69,[65-69],1545.00000000,89.82558140,,1568.00259810,
EU,Europe,ALB,Albania,2004,All,Age70_74,[70-74],2153.00000000,88.67380560,,2997.39659470,
EU,Europe,ALB,Albania,2006,All,Age55_59,[55-59],592.00000000,88.22652757,,424.14776391,
EU,Europe,ALB,Albania,2006,All,Age60_64,[60-64],929.00000000,90.54580897,,820.12800706,
EU,Europe,ALB,Albania,2006,All,Age65_69,[65-69],1353.00000000,90.80536913,,1294.77401270,
EU,Europe,ALB,Albania,2006,All,Age70_74,[70-74],2102.00000000,89.48488719,,2697.60398350,
EU,Europe,ALB,Albania,2010,All,Age55_59,[55-59],416.00000000,84.21052632,,263.54968482,
EU,Europe,ALB,Albania,2010,All,Age60_64,[60-64],588.00000000,90.74074074,,476.02085425,
EU,Europe,ALB,Albania,2010,All,Age65_69,[65-69],907.00000000,92.83520983,,823.81151338,
EU,Europe,ALB,Albania,2010,All,Age70_74,[70-74],1447.00000000,92.34205488,,1574.94884410,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1961,All,Age55_59,[55-59],42.00000000,72.41379310,,,
EU,Europe,ALB,Albania,1987,All,Age70_74,[70-74],1484.00000000,82.17054264,,3637.25490200,
EU,Europe,ALB,Albania,1988,All,Age55_59,[55-59],654.00000000,83.20610687,,646.88427300,
EU,Europe,ALB,Albania,1989,All,Age60_64,[60-64],962.00000000,85.81623550,,1200.99875160,
EU,Europe,ALB,Albania,1992,All,Age55_59,[55-59],600.00000000,79.78723404,,528.16901408,
EU,Europe,ALB,Albania,1992,All,Age65_69,[65-69],1120.00000000,85.04176158,,1577.46478870,
EU,Europe,ALB,Albania,1993,All,Age60_64,[60-64],931.00000000,86.20370370,,997.85637728,
EU,Europe,ALB,Albania,1994,All,Age55_59,[55-59],552.00000000,81.65680473,,457.33222867,
EU,Europe,ALB,Albania,1995,All,Age55_59,[55-59],651.00000000,87.26541555,,521.63461538,
EU,Europe,ALB,Albania,1995,All,Age65_69,[65-69],1251.00000000,89.61318052,,1656.95364240,
EU,Europe,ALB,Albania,1996,All,Age65_69,[65-69],1449.00000000,91.53506001,,1891.64490860,
EU,Europe,ALB,Albania,1998,All,Age60_64,[60-64],981.00000000,89.18181818,,938.75598086,
EU,Europe,ALB,Albania,1999,All,Age70_74,[70-74],1657.00000000,90.15233950,,2775.54438860,
EU,Europe,ALB,Albania,2000,All,Age55_59,[55-59],573.00000000,86.03603604,,475.12437811,
EU,Europe,ALB,Albania,2001,All,Age55_59,[55-59],535.00000000,86.56957929,,445.33233446,
EU,Europe,ALB,Albania,2003,All,Age70_74,[70-74],2134.00000000,88.91666667,,3136.66696060,
EU,Europe,ALB,Albania,2005,All,Age55_59,[55-59],574.00000000,83.79562044,,439.99509413,
EU,Europe,ALB,Albania,2008,All,Age70_74,[70-74],1974.00000000,92.98162977,,2314.86367630,
EU,Europe,ALB,Albania,2009,All,Age70_74,[70-74],1846.00000000,92.06982544,,2088.49517470,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1961,All,Age65_69,[65-69],42.00000000,72.41379310,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1962,All,Age60_64,[60-64],,,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1963,All,Age70_74,[70-74],,,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1964,All,Age55_59,[55-59],57.00000000,86.36363636,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1964,All,Age65_69,[65-69],46.00000000,86.79245283,,,
EU,Europe,ALB,Albania,2005,All,Age65_69,[65-69],1453.00000000,88.59756098,,1418.73748960,
EU,Europe,ALB,Albania,2005,All,Age70_74,[70-74],2019.00000000,86.50385604,,2694.73066040,
EU,Europe,ALB,Albania,2007,All,Age55_59,[55-59],526.00000000,86.51315789,,363.72437161,
EU,Europe,ALB,Albania,2007,All,Age60_64,[60-64],692.00000000,87.37373737,,623.97994608,
EU,Europe,ALB,Albania,2007,All,Age65_69,[65-69],1206.00000000,91.78082192,,1119.82914710,
EU,Europe,ALB,Albania,2007,All,Age70_74,[70-74],1794.00000000,91.81166837,,2185.96546810,
EU,Europe,ALB,Albania,2008,All,Age55_59,[55-59],661.00000000,87.54966887,,448.27843448,
EU,Europe,ALB,Albania,2008,All,Age60_64,[60-64],762.00000000,91.25748503,,687.53947487,
EU,Europe,ALB,Albania,2008,All,Age65_69,[65-69],1389.00000000,93.97834912,,1245.04759690,
EU,Europe,ALB,Albania,2009,All,Age55_59,[55-59],603.00000000,87.64534884,,397.19656949,
EU,Europe,ALB,Albania,2009,All,Age60_64,[60-64],717.00000000,89.40149626,,622.33100719,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1962,All,Age65_69,[65-69],39.00000000,81.25000000,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1962,All,Age70_74,[70-74],,,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1963,All,Age55_59,[55-59],55.00000000,75.34246575,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1963,All,Age60_64,[60-64],,,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1963,All,Age65_69,[65-69],50.00000000,75.75757576,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1970,All,Age60_64,[60-64],38.00000000,86.36363636,,1964.83971040,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1970,All,Age65_69,[65-69],30.00000000,90.90909091,,2388.53503180,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1970,All,Age70_74,[70-74],27.00000000,84.37500000,,3708.79120880,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1972,All,Age55_59,[55-59],29.00000000,82.85714286,,1257.58889850,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1972,All,Age60_64,[60-64],32.00000000,88.88888889,,1654.60186140,
EU,Europe,ALB,Albania,1987,All,Age65_69,[65-69],1157.00000000,83.65871294,,1788.25347760,
EU,Europe,ALB,Albania,1988,All,Age60_64,[60-64],911.00000000,86.43263757,,1153.16455700,
EU,Europe,ALB,Albania,1989,All,Age55_59,[55-59],663.00000000,82.87500000,,646.82926829,
EU,Europe,ALB,Albania,1992,All,Age60_64,[60-64],1018.00000000,82.89902280,,1129.85571590,
EU,Europe,ALB,Albania,1993,All,Age55_59,[55-59],636.00000000,83.90501319,,544.05474765,
EU,Europe,ALB,Albania,1993,All,Age65_69,[65-69],931.00000000,84.71337580,,1287.69017980,
EU,Europe,ALB,Albania,1995,All,Age60_64,[60-64],933.00000000,88.51992410,,926.51439921,
