Region Code: EU
"Region Name: Europe"
Country Code: LUX
"Country Name: Luxembourg"
Export date: 12/2/2022 10:47:49 AM
Source location: "WHO Mortality Database portal"
Metadata information: 

Indicator Code,Indicator Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
CG0020,Infectious and parasitic diseases,2000,All,Age_all,[All],35.00000000,0.96605023,4.99294486,7.97611723,
CG0050,Syphilis,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0100,Diarrhoeal diseases,2000,All,Age_all,[All],6.00000000,0.16560861,0.80387832,1.36733438,
CG0150,Measles,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0180,Hepatitis B,2000,All,Age_all,[All],1.00000000,0.02760144,0.12599054,0.22788906,
CG0230,Chagas disease,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0280,Leprosy,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0310,Trachoma,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0360,Other intestinal infections,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0410,Otitis media,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0440,Maternal sepsis,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0490,Perinatal conditions,2000,All,Age_all,[All],9.00000000,0.24841292,2.91416385,2.05100157,
CG0540,Protein-energy malnutrition,2000,All,Age_all,[All],1.00000000,0.02760144,0.19459216,0.22788906,
CG0570,Iron-deficiency anaemia,2000,All,Age_all,[All],1.00000000,0.02760144,0.09164733,0.22788906,
CG0611,a. Lip and oral cavity cancers,2000,All,Age_all,[All],7.00000000,0.19321005,0.99851285,1.59522345,
CG0640,Colon and rectum cancers,2000,All,Age_all,[All],116.00000000,3.20176649,15.34254408,26.43513138,
CG0670,"Trachea, bronchus, lung cancers",2000,All,Age_all,[All],199.00000000,5.49268562,29.89509322,45.34992366,
CG0700,Cervix uteri cancer,2000,All,Age_all,[All],4.00000000,0.11040574,0.62689713,0.91155625,
CG0732,Kidney cancer,2000,All,Age_all,[All],18.00000000,0.49682583,2.40207893,4.10200314,
CG0742,Gallbladder and biliary tract cancer,2000,All,Age_all,[All],11.00000000,0.30361579,1.37705027,2.50677970,
CG0751,a. Hodgkin lymphoma,2000,All,Age_all,[All],1.00000000,0.02760144,0.15281585,0.22788906,
CG0790,Diabetes mellitus,2000,All,Age_all,[All],53.00000000,1.46287607,6.64449757,12.07812037,
CG0820,Unipolar depressive disorders,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2000,All,Age_all,[All],133.00000000,3.67099089,18.78600249,30.30924546,
CG0060,Chlamydia,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0110,Childhood-cluster diseases,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0140,Diphtheria,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0190,Hepatitis C,2000,All,Age_all,[All],1.00000000,0.02760144,0.12477351,0.22788906,
CG0240,Schistosomiasis,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0270,Onchocerciasis,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0320,Intestinal nematode infections,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0370,Other infectious diseases,2000,All,Age_all,[All],21.00000000,0.57963014,2.71979789,4.78567034,
